Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S
A1	4_sub	62.56	2) medium quality	90.61	5.61	84.62	Faecalibacterium prausnitzii	species	0.801	Faecalibacterium prausnitzii	species	0.429	5135	2.69	21.02	716	21321	2465	31	0	0	1
A1	maxbin.001	58.75	2) medium quality	88.05	5.86	53.33	Prevotella copri	species	0.865	Prevotella copri DSM 18205	strain	0.464	7404	3.43	99.84	726	51619	2845	38	1	1	5
A1	maxbin.002	83.21	3) high quality Nayfach	93.21	2	58.33	Prevotella sp. Marseille-P4119	species	0.91	Prevotella sp. Marseille-P4119	species	0.91	16107	2.94	29.49	339	49124	2256	31	0	1	0
A1	unbinned	-7598.8	0) really bad	100	1539.76	5.14	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.094	1593	56.6	8.01	129545	46026	0	412	15	9	24
A10	16	31.31	1) low quality	31.31	0	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.695	Unclassified	Unclassified	0.695	1592	0.79	6.16	496	4670	665	1	0	0	1
A10	30	15.04	1) low quality	32.09	3.41	64.44	Enterobacteriaceae	family	0.728	Klebsiella	genus	0.296	1401	1.7	6.72	1172	11598	1933	9	0	0	0
A10	31	73.56	2) medium quality	82.41	1.77	28.57	Bacteroides sp. CAG:709	species	0.665	Unclassified	Unclassified	0.427	4442	2.39	9.21	638	18011	1970	13	0	0	0
A10	bin.7	89.5	3) high quality Nayfach	91.9	0.48	25	Ruminococcaceae bacterium	species	0.977	Ruminococcaceae bacterium	species	0.977	12009	1.99	16.19	212	38072	1777	32	0	0	0
A10	maxbin.002_sub	61.1	2) medium quality	73.3	2.44	46.15	Bacteroidales	order	0.737	Unclassified	Unclassified	0.337	13649	2.86	28.85	400	47750	2129	31	0	4	0
A10	maxbin.007_sub	29.47	0) really bad	93.32	12.77	5	[Eubacterium] siraeum	species	0.757	[Eubacterium] siraeum V10Sc8a	strain	0.417	5802	2.61	12.91	625	52120	2247	12	0	0	0
A10	unbinned	-16765.35	0) really bad	100	3373.07	6.16	Bacteria	superkingdom	0.666	Unclassified	Unclassified	0.23	1258	130.02	6.87	268845	97569	0	990	27	20	43
A11	39	23.2	2) medium quality	59.05	7.17	0	Ruminococcaceae	family	0.672	Faecalibacterium sp. AF27-11BH	species	0.258	1782	2.1	7.21	1190	25411	2038	15	0	0	0
A11	bin.1	90.2	3) high quality Nayfach	92.6	0.48	0	Alistipes onderdonkii subsp. vulgaris	subspecies	0.719	Alistipes onderdonkii subsp. vulgaris	subspecies	0.719	20797	2.66	17.61	177	90036	2157	29	0	0	1
A11	bin.4	98.6	3) high quality Nayfach	99.25	0.13	0	Bacteroidales	order	0.705	Bacteroides dorei CL03T12C01	strain	0.12	130087	5.2	85.67	75	516546	4284	61	0	0	1
A11	maxbin.002_sub	33.07	2) medium quality	51.27	3.64	54.55	Bacteroides	genus	0.703	Bacteroides xylanisolvens	species	0.314	11913	3.3	39.14	477	71685	2418	11	0	1	0
A11	unbinned	-4294.85	0) really bad	100	878.97	6.18	Bacteria	superkingdom	0.669	Bacteroides fragilis	species	0.101	4074	44.96	12.82	75075	86230	0	365	15	14	11
A12	42	17.19	1) low quality	45.99	5.76	30.77	Candidatus Melainabacteria bacterium	species	0.774	Candidatus Melainabacteria bacterium	species	0.774	1640	0.91	8.08	561	8336	718	6	0	0	0
A12	45	30.04	0) really bad	94.64	12.92	9.52	Faecalibacterium	genus	0.695	Faecalibacterium prausnitzii	species	0.439	2693	3.2	14.61	1405	18813	2992	46	0	0	0
A12	6	90.47	2) medium quality	92.17	0.34	0	Ruminococcaceae bacterium	species	0.817	Ruminococcaceae bacterium	species	0.817	7156	1.78	14.74	330	32605	1608	24	0	0	0
A12	bin.8	88.22	2) medium quality	88.22	0	0	Bacteroidales	order	0.67	uncultured Prevotellaceae bacterium	species	0.455	9503	2.19	14.88	276	43755	1663	26	0	0	0
A12	unbinned	-16675	0) really bad	100	3355	5.33	Bacteria	superkingdom	0.664	Unclassified	Unclassified	0.244	1391	113.52	9.7	246224	98365	0	935	29	31	48
A13	22_sub	76.84	2) medium quality	81.14	0.86	0	Ruminococcaceae bacterium	species	0.874	Ruminococcaceae bacterium	species	0.874	2754	1.49	8.17	611	11975	1346	17	0	0	2
A13	35_sub	45.79	2) medium quality	57.89	2.42	33.33	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.74	Unclassified	Unclassified	0.74	2123	1.22	8.12	606	12163	994	4	0	0	0
A13	40	48.76	2) medium quality	60.11	2.27	0	unclassified Akkermansia	no rank	0.776	unclassified Akkermansia	no rank	0.776	1900	1.77	6.35	981	7597	1851	15	0	0	0
A13	50_sub	44.01	1) low quality	49.96	1.19	0	Ruminococcaceae bacterium	species	0.696	Ruminococcaceae bacterium	species	0.696	1677	1.05	6.8	616	12303	814	4	0	0	0
A13	7_sub	49.69	2) medium quality	54.84	1.03	0	Bacteria	superkingdom	0.675	Unclassified	Unclassified	0.423	2146	1.37	7.31	683	8818	1364	19	0	0	0
A13	bin.11	96.31	3) high quality Nayfach	96.31	0	0	[Eubacterium] siraeum	species	0.902	[Eubacterium] siraeum V10Sc8a	strain	0.61	13107	2.36	18.61	237	58381	2037	21	0	0	0
A13	bin.3	88.44	3) high quality Nayfach	91.94	0.7	0	Clostridiales bacterium	species	1	Clostridiales bacterium	species	1	43935	1.5	30.35	52	95615	1357	43	1	0	1
A13	maxbin.002_sub	-87.1	0) really bad	85.85	34.59	64.56	Faecalibacterium	genus	0.701	Faecalibacterium prausnitzii	species	0.26	3533	3.27	20.06	1193	28014	2976	18	0	0	0
A13	maxbin.008	82.99	2) medium quality	89.14	1.23	50	Elusimicrobia	phylum	0.764	Elusimicrobia bacterium UBA5880	species	0.423	3897	1.53	9.57	503	30153	1482	38	0	0	0
A13	unbinned	-24238.7	0) really bad	100	4867.74	3.05	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.275	1003	157.9	5.13	364724	66589	0	1401	55	53	54
A15	17	46.93	2) medium quality	56.68	1.95	0	Alistipes	genus	0.949	Alistipes sp. CAG:157	species	0.498	1825	1.24	7.17	699	8789	1205	11	0	0	0
A15	26	-68.05	0) really bad	87.15	31.04	40.91	Alistipes	genus	0.665	Alistipes onderdonkii	species	0.256	3210	3.84	10.36	1440	21984	3276	29	0	0	1
A15	30	64.25	2) medium quality	69.1	0.97	25	Bacteroidales	order	0.674	Barnesiella intestinihominis	species	0.204	2388	2.2	8.48	997	9599	1777	14	0	0	0
A15	43	95.38	3) high quality Nayfach	95.38	0	0	Bacteroidales	order	0.988	Bacteroidales bacterium H9	species	0.638	13767	2.4	19.98	226	48204	1943	31	0	0	0
A15	49	80.46	2) medium quality	85.51	1.01	0	Ruminococcaceae bacterium	species	0.846	Ruminococcaceae bacterium	species	0.846	4048	1.61	10.8	500	23359	1412	9	0	0	0
A15	bin.1	57.5	2) medium quality	69.55	2.41	80	Ruminococcaceae bacterium	species	0.886	Ruminococcaceae bacterium	species	0.886	4859	1.39	15.61	294	16025	1303	20	0	0	0
