user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
B13_60	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus	GCF_000300255.2	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus	98.57	0.92	GCF_000300255.2	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus	98.57	0.92	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002503545.1, s__Methanomethylophilus sp002503545, 95.0, 82.49, 0.63; GCF_001481295.1, s__Methanomethylophilus sp001481295, 95.0, 80.18, 0.39; GCF_001560915.1, s__Methanomethylophilus sp001560915, 95.0, 79.35, 0.38; GCF_000350305.1, s__Methanomethylophilus sp000350305, 95.0, 79.15, 0.43; GCA_002495325.1, s__Methanomethylophilus sp002495325, 95.0, 78.23, 0.15	74.28	11	N/A	N/A
B14_5_sub	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465	GCA_006954465.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465	95.14	0.76	GCA_006954465.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465	95.14	0.76	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002506425.1, s__UBA71 sp002506425, 95.0, 82.12, 0.66; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 79.9, 0.47; GCA_006954425.1, s__UBA71 sp006954425, 95.0, 79.87, 0.48; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 79.28, 0.46	58.22	11	N/A	N/A
B23_maxbin.040	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465	GCA_006954465.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465	95.2	0.68	GCA_006954465.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954465	95.2	0.68	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_006954425.1, s__UBA71 sp006954425, 95.0, 83.05, 0.23; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 81.17, 0.5; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 80.0, 0.36; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 79.92, 0.27	35.25	11	N/A	N/A
B40_42	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	GCF_000016525.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	98.4	0.94	GCF_000016525.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	98.4	0.94	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002252585.1, s__Methanobrevibacter_A smithii_A, 95.0, 93.69, 0.96; GCF_003111605.1, s__Methanobrevibacter_A woesei, 95.0, 82.77, 0.69; GCF_001639275.1, s__Methanobrevibacter_A oralis, 95.0, 81.79, 0.69; GCF_001548675.1, s__Methanobrevibacter_A sp001548675, 95.0, 81.72, 0.62; GCF_003814835.1, s__Methanobrevibacter_A gottschalkii, 95.0, 81.64, 0.67; GCF_003111625.1, s__Methanobrevibacter_A thaueri, 95.0, 81.5, 0.38; GCA_900314695.1, s__Methanobrevibacter_A sp900314695, 95.0, 81.44, 0.56; GCA_900319535.1, s__Methanobrevibacter_A sp900319535, 95.0, 80.85, 0.54; GCA_900316895.1, s__Methanobrevibacter_A sp900316895, 95.0, 80.61, 0.33; GCF_001477655.1, s__Methanobrevibacter_A millerae, 95.0, 80.5, 0.69; GCA_002496065.1, s__Methanobrevibacter_A sp002496065, 95.0, 80.35, 0.48; GCA_900314615.1, s__Methanobrevibacter_A sp900314615, 95.0, 80.14, 0.56; GCA_900317865.1, s__Methanobrevibacter_A sp900317865, 95.0, 79.83, 0.54; GCA_900320955.1, s__Methanobrevibacter_A sp900320955, 95.0, 79.45, 0.38; GCA_900319985.1, s__Methanobrevibacter_A sp900319985, 95.0, 79.43, 0.54; GCA_900320515.1, s__Methanobrevibacter_A sp900320515, 95.0, 79.09, 0.29; GCA_900313645.1, s__Methanobrevibacter_A sp900313645, 95.0, 78.93, 0.52; GCA_900318035.1, s__Methanobrevibacter_A sp900318035, 95.0, 78.81, 0.46	69.81	11	N/A	N/A
B45_maxbin.030	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	GCA_006954405.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	97.11	0.94	GCA_006954405.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	97.11	0.94	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.67	11	N/A	N/A
B50_55	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	N/A	N/A	N/A	N/A	N/A	GCA_006954425.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp006954425	85.07	0.74	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002504405.1, s__UBA71 sp002504405, 95.0, 81.23, 0.52; GCA_006954465.1, s__UBA71 sp006954465, 95.0, 80.27, 0.42; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 79.74, 0.42; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 79.69, 0.35	67.49	11	0.9715729156940575	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
B5_69	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	GCA_006954405.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	98.0	0.97	GCA_006954405.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	98.0	0.97	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.76	11	N/A	N/A
B66_15	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	GCA_006954405.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	98.28	0.96	GCA_006954405.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__MX-02;s__MX-02 sp006954405	98.28	0.96	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	49.1	11	N/A	N/A
B71_46	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	GCF_000016525.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	97.99	0.96	GCF_000016525.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	97.99	0.96	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002252585.1, s__Methanobrevibacter_A smithii_A, 95.0, 93.39, 0.96; GCF_003111605.1, s__Methanobrevibacter_A woesei, 95.0, 80.4, 0.55; GCF_003814835.1, s__Methanobrevibacter_A gottschalkii, 95.0, 79.68, 0.56; GCF_001639275.1, s__Methanobrevibacter_A oralis, 95.0, 79.64, 0.54; GCF_003111625.1, s__Methanobrevibacter_A thaueri, 95.0, 79.44, 0.29; GCA_900314695.1, s__Methanobrevibacter_A sp900314695, 95.0, 79.42, 0.47; GCF_001477655.1, s__Methanobrevibacter_A millerae, 95.0, 79.39, 0.5; GCF_001548675.1, s__Methanobrevibacter_A sp001548675, 95.0, 79.39, 0.45; GCA_900319535.1, s__Methanobrevibacter_A sp900319535, 95.0, 79.38, 0.45; GCA_900318035.1, s__Methanobrevibacter_A sp900318035, 95.0, 79.19, 0.37; GCA_900317865.1, s__Methanobrevibacter_A sp900317865, 95.0, 78.93, 0.51; GCA_900320515.1, s__Methanobrevibacter_A sp900320515, 95.0, 78.74, 0.25; GCA_900314615.1, s__Methanobrevibacter_A sp900314615, 95.0, 78.69, 0.45; GCA_900313645.1, s__Methanobrevibacter_A sp900313645, 95.0, 78.58, 0.31; GCA_900316895.1, s__Methanobrevibacter_A sp900316895, 95.0, 78.58, 0.31; GCA_900320955.1, s__Methanobrevibacter_A sp900320955, 95.0, 78.56, 0.39; GCA_900319985.1, s__Methanobrevibacter_A sp900319985, 95.0, 78.47, 0.42; GCA_002496065.1, s__Methanobrevibacter_A sp002496065, 95.0, 78.39, 0.31	90.3	11	N/A	N/A
B72_15	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	GCF_000016525.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	98.15	0.94	GCF_000016525.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	98.15	0.94	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002252585.1, s__Methanobrevibacter_A smithii_A, 95.0, 93.52, 0.95; GCF_003111625.1, s__Methanobrevibacter_A thaueri, 95.0, 81.36, 0.31; GCF_003111605.1, s__Methanobrevibacter_A woesei, 95.0, 81.07, 0.65; GCA_900314695.1, s__Methanobrevibacter_A sp900314695, 95.0, 80.73, 0.53; GCF_003814835.1, s__Methanobrevibacter_A gottschalkii, 95.0, 80.58, 0.56; GCA_900314615.1, s__Methanobrevibacter_A sp900314615, 95.0, 80.42, 0.49; GCF_001548675.1, s__Methanobrevibacter_A sp001548675, 95.0, 80.41, 0.54; GCA_900316895.1, s__Methanobrevibacter_A sp900316895, 95.0, 80.31, 0.26; GCF_001639275.1, s__Methanobrevibacter_A oralis, 95.0, 80.27, 0.66; GCA_900317865.1, s__Methanobrevibacter_A sp900317865, 95.0, 80.14, 0.54; GCF_001477655.1, s__Methanobrevibacter_A millerae, 95.0, 80.09, 0.6; GCA_900319535.1, s__Methanobrevibacter_A sp900319535, 95.0, 79.94, 0.54; GCA_900320515.1, s__Methanobrevibacter_A sp900320515, 95.0, 79.63, 0.28; GCA_900313645.1, s__Methanobrevibacter_A sp900313645, 95.0, 79.56, 0.4; GCA_900318035.1, s__Methanobrevibacter_A sp900318035, 95.0, 79.26, 0.37; GCA_002496065.1, s__Methanobrevibacter_A sp002496065, 95.0, 79.18, 0.42; GCA_900319985.1, s__Methanobrevibacter_A sp900319985, 95.0, 79.13, 0.44; GCA_900320955.1, s__Methanobrevibacter_A sp900320955, 95.0, 79.02, 0.44	71.58	11	N/A	N/A
