Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
A1	4_sub	62.56	2) medium quality	90.61	5.61	84.62	Faecalibacterium prausnitzii	species	0.801	Faecalibacterium prausnitzii	species	0.429	5135	2.69	21.02	716	21321	2465	31	0	0	1	TRUE	TRUE	FALSE	FALSE	44	0	0	0	0	0	0	0	2685515	557326	0	0	0	0	0	0	0	716	2685515	2891	159	335	89.74	o__Clostridiales (UID1212)	172	261	147	31	217	13	0	0	0
A1	maxbin.001	58.75	2) medium quality	88.05	5.86	53.33	Prevotella copri	species	0.865	Prevotella copri DSM 18205	strain	0.464	7404	3.43	99.84	726	51619	2845	38	1	1	5	TRUE	TRUE	FALSE	FALSE	76	1	0	0	0	0	0	0	3433146	1366244	51619	0	0	0	0	0	0	726	3433146	3605	116	283	168.94	g__Prevotella (UID2724)	55	567	296	67	472	27	1	0	0
A1	maxbin.002	83.21	3) high quality Nayfach	93.21	2	58.33	Prevotella sp. Marseille-P4119	species	0.91	Prevotella sp. Marseille-P4119	species	0.91	16107	2.94	29.49	339	49124	2256	31	0	1	0	TRUE	TRUE	TRUE	FALSE	109	0	0	0	0	0	0	0	2942056	2048621	0	0	0	0	0	0	0	339	2942056	7832	62	127	49.63	o__Bacteroidales (UID2716)	92	487	270	42	433	12	0	0	0
A1	unbinned	-7598.8	0) really bad	100	1539.76	5.14	Bacteria	superkingdom	0.661	Unclassified	Unclassified	0.094	1593	56.6	8.01	129545	46026	0	412	15	9	24	FALSE	FALSE	FALSE	FALSE	200	0	0	0	0	0	0	0	56598974	3058347	0	0	0	0	0	0	0	19820	25598818	762	2989	9195	21.45	root (UID1)	5656	56	24	0	0	1	1	0	54
A10	16	31.31	1) low quality	31.31	0	0	CLASSIFICATION ERROR	CLASSIFICATION ERROR	0.695	Unclassified	Unclassified	0.695	1592	0.79	6.16	496	4670	665	1	0	0	1	TRUE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	786710	0	0	0	0	0	0	0	0	496	786710	1267	181	320	17.8	c__Clostridia (UID1118)	387	223	124	141	82	0	0	0	0
A10	30	15.04	1) low quality	32.09	3.41	64.44	Enterobacteriaceae	family	0.728	Klebsiella	genus	0.296	1401	1.7	6.72	1172	11598	1933	9	0	0	0	TRUE	FALSE	FALSE	FALSE	1	0	0	0	0	0	0	0	1702847	11598	0	0	0	0	0	0	0	1172	1702847	1151	438	775	41.11	f__Enterobacteriaceae (UID5103)	157	1005	324	653	313	36	3	0	0
A10	31	73.56	2) medium quality	82.41	1.77	28.57	Bacteroides sp. CAG:709	species	0.665	Unclassified	Unclassified	0.427	4442	2.39	9.21	638	18011	1970	13	0	0	0	TRUE	TRUE	FALSE	FALSE	17	0	0	0	0	0	0	0	2387053	212566	0	0	0	0	0	0	0	638	2387053	2870	179	345	6.7	p__Bacteroidetes (UID2605)	350	316	210	56	253	7	0	0	0
A10	bin.7	89.5	3) high quality Nayfach	91.9	0.48	25	Ruminococcaceae bacterium	species	0.977	Ruminococcaceae bacterium	species	0.977	12009	1.99	16.19	212	38072	1777	32	0	0	0	TRUE	TRUE	TRUE	FALSE	72	0	0	0	0	0	0	0	1989309	1214815	0	0	0	0	0	0	0	212	1989309	7148	53	105	18.1	o__Clostridiales (UID1212)	172	263	149	15	244	4	0	0	0
A10	maxbin.002_sub	61.1	2) medium quality	73.3	2.44	46.15	Bacteroidales	order	0.737	Unclassified	Unclassified	0.337	13649	2.86	28.85	400	47750	2129	31	0	4	0	TRUE	TRUE	FALSE	FALSE	91	0	0	0	0	0	0	0	2859261	1764116	0	0	0	0	0	0	0	400	2859261	5988	63	141	151.09	p__Bacteroidetes (UID2605)	350	316	210	84	223	7	2	0	0
A10	maxbin.007_sub	29.47	0) really bad	93.32	12.77	5	[Eubacterium] siraeum	species	0.757	[Eubacterium] siraeum V10Sc8a	strain	0.417	5802	2.61	12.91	625	52120	2247	12	0	0	0	FALSE	FALSE	FALSE	FALSE	35	1	0	0	0	0	0	0	2612656	545080	52120	0	0	0	0	0	0	625	2612656	3409	136	284	23.73	k__Bacteria (UID203)	5449	104	58	10	76	17	1	0	0
A10	unbinned	-16765.35	0) really bad	100	3373.07	6.16	Bacteria	superkingdom	0.666	Unclassified	Unclassified	0.23	1258	130.02	6.87	268845	97569	0	990	27	20	43	FALSE	FALSE	FALSE	FALSE	219	2	0	0	0	0	0	0	130016061	3611500	157608	0	0	0	0	0	0	61013	70161748	754	13643	32105	26.03	root (UID1)	5656	56	24	0	0	0	0	1	55
A11	39	23.2	2) medium quality	59.05	7.17	0	Ruminococcaceae	family	0.672	Faecalibacterium sp. AF27-11BH	species	0.258	1782	2.1	7.21	1190	25411	2038	15	0	0	0	TRUE	TRUE	FALSE	FALSE	1	0	0	0	0	0	0	0	2097212	25411	0	0	0	0	0	0	0	1190	2097212	1306	382	730	17.64	o__Clostridiales (UID1212)	172	261	147	91	156	13	1	0	0
A11	bin.1	90.2	3) high quality Nayfach	92.6	0.48	0	Alistipes onderdonkii subsp. vulgaris	subspecies	0.719	Alistipes onderdonkii subsp. vulgaris	subspecies	0.719	20797	2.66	17.61	177	90036	2157	29	0	0	1	TRUE	TRUE	TRUE	FALSE	97	5	0	0	0	0	0	0	2659357	2195903	363130	0	0	0	0	0	0	177	2659357	11923	38	80	4.89	p__Bacteroidetes (UID2605)	350	314	208	20	293	1	0	0	0
